File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,completeness_status,completeness_rate,missing_or_wrong_data
FDA-2011-P-0437-0003_Closure_of_Citizen_Petition_from_Donald_Hassig.pdf,Not Mentioned,Not Mentioned,Donald Hassig (individual petitioner),Self-filed by Donald Hassig,"[""Not Mentioned""]",Closure of citizen petitions,Not Mentioned,Not Mentioned,Complete,77.2%,Identity of Submitting Entity
FDA-2011-P-0448-0004_Citizen_Petition_Denial_Response_from_FDA_CVM_to_E.pdf,2011-05-25,Not Mentioned,"Ocean Conservancy, Friends of the Earth, Center for Food Safety, Food & Water Watch, Center for International Environmental Law, and Greenpeace","Filed by Earthjustice on behalf of Ocean Conservancy, Friends of the Earth, Center for Food Safety, Food & Water Watch, Center for International Environmental Law, and Greenpeace","[""21 CFR § 10.30(e)(3)"", ""42 U.S.C. § 4332"", ""40 CFR §§ 1507.1, 1508.4, 1508.9, 1508.11, 1508.27(b)(4), 1501.6"", ""21 U.S.C. § 331(u)"", ""18 U.S.C. § 1905""]",Approval of AquaBounty Technologies' new animal drug application (NADA) for AquAdvantage Salmon,Refrain from taking final action on ABT's application until FDA has completed a comprehensive environmental impact statement and amend its regulatory framework to provide greater environmental protection,The approval of genetically engineered salmon may have significant environmental impacts that require a thorough EIS under NEPA,Complete,83.6%,Date of Petition
FDA-2011-P-0450-0001_MSMB_Capital_Management_LLC___Citizen_Petition.pdf,2011-06-11,Not Mentioned,MSMB Capital Management LLC,"Self-filed by MSMB Capital Management LLC through Martin Shkreli, Chief Investment Officer","[""21 CFR 10.30"", ""Section 505(q) of the FD&C Act""]",Approval process for investigational radioactive sentinel lymph node detection agents,Refrain from approving and considering approval of investigational radioactive sentinel lymph node detection agents without accompanying data from successful controlled trials compared against the standard of care,"Current studies lack comparative data to the best available standard of care, potentially leading to inappropriate staging of cancer status and unnecessary resection of additional lymph nodes",Complete,96.0%,None
FDA-2011-P-0450-0005_FDA_CDER_to_MSMB_Capital_Management_LLC__Petition_.pdf,2011-06-02,Not Mentioned,MSMB Capital Management LLC,"Self-filed by MSMB Capital Management LLC through Martin Shkreli, Chief Investment Officer","[""21 CFR 314.50(d)(5)(v)"", ""21 CFR 314.50(d)(5)(viii)"", ""21 CFR 315.4(a)"", ""21 CFR 315.5(a)"", ""21 CFR 315.5(b)"", ""21 U.S.C. § 355(b)(1))"", ""21 U.S.C. § 355(c))"", ""Section 505(b)(1) of the FD&C Act"", ""Section 505(c) of the FD&C Act""]",Approval process for Lymphoseek (NDA 202207),Refrain from approving and considering approval of investigational radioactive sentinel lymph node detection agents without accompanying data from controlled trials compared to the standard of care,"Accompanying data from successful controlled trials comparing proposed drug products against the combination of a radioactive colloid and blue dye, and employing complete axillary dissection as a reference truth standard",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0459-0003_Citizen_Petition_Partial_Approval_and_Denial_Respo.pdf,2011-06-08,Not Mentioned,Watson Laboratories,Self-filed by Watson Laboratories,"[""21 CFR 10."", ""21 CFR 10.20"", ""21 CFR 10.33."", ""Section 505(b) of the FD&C Act"", ""Section 505(j)(2)(A)(iv) of the FD&C Act"", ""Section 505(j)(2)(C) of the FD&C Act""]","ANDA approval process for Pentazocine Hydrochloride and Acetaminophen Tablets, 12.5 mg/325 mg and 25 mg/325 mg",Approve petition to file ANDA for the proposed drug product strengths of 12.5 mg/325 mg and deny for 25 mg/325 mg,Bioequivalence data supports approval for 12.5 mg/325 mg strength; safety and efficacy concerns require further clinical studies for 25 mg/325 mg strength,Complete,93.5%,None
FDA-2011-P-0460-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,2011-06-07,Not Mentioned,"Lachman Consultant Services, Inc.","Self-filed by Lachman Consultant Services, Inc.","[""21 CFR 10.30"", ""21 CFR 10.30(b)"", ""21 CFR 25.31."", ""21 CFR 314.161"", ""21 CFR 314.161(a)(1))"", ""21 CFR 314.162)""]",Listing of Talwin Compound (aspirin and pentazocine hydrochloride) Tablets in the Orange Book,Determine whether Sanofi Aventis discontinued marketing of Talwin Compound for reasons of safety or effectiveness,"Current listing suggests discontinuation, but no evidence of withdrawal due to safety or efficacy issues",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0474-0006_Withdrawal_of_Petition_from_Kalypto_Medical__Inc__.pdf,2019-11-19,Not Mentioned,Kalypto Medical Inc.,"Filed by DuVal & Associates, P.A. on behalf of Kalypto Medical Inc.","[""21 CFR 807"", ""21 U.S.C. § 355""]",Withdrawal of Petition for Stay of Action and Citizen Petition,Withdraw the previously submitted petition (FDA-2011-P-0474),Not Mentioned,Complete,80.0%,Cited Statutes or Regulations
FDA-2011-P-0479-0001_Citizen_Petition_from_Dr__S__Albert_Edwards_Redact.pdf,2011-06-06,Not Mentioned,"Dr. S. Albert Edwards, PharmD, RAC, FRAPS (individual petitioner)","Self-filed by Dr. S. Albert Edwards, PharmD, RAC, FRAPS","[""21 CFR 25.34"", ""21 CFR 314.81(b)(2)(ii)"", ""21 CFR 5.10""]",Classification of annuloplasty rings and death reporting analysis,"[""Investigate the basis for the Class II decision on annuloplasty rings and reclassify these rings to Class III, PMA approval scheme."", ""Assess the rising death reports with annuloplasty rings using manufacturers' annual sales data."", ""Reclassify annuloplasty rings to Class III.""]","[""The decision to classify annuloplasty rings as Class II devices is based on limited evidence and may not adequately reflect the risks associated with these devices."", ""There has been a marked increase in deaths reported from annuloplasty rings, indicating potential safety concerns.""]",Complete,91.8%,None
FDA-2011-P-0479-0004_Citizen_Petition_Denial_Response_Letter_from_FDA_C.pdf,2011-06-14,Not Mentioned,"Dr. S. Albert Edwards, PharmD, RAC, FRAPS (individual petitioner)","Self-filed by Dr. S. Albert Edwards, PharmD, RAC, FRAPS","[""21 U.S.C. § 360c"", ""Section 513 of the FD&C Act"", ""21 CFR 870.3800""]",Reclassification of annuloplasty rings from class II to class III,Initiate a process to reclassify annuloplasty rings from class II to class III,"Based on the nature and characteristics of the device, as well as an increase in death reports",Complete,98.0%,None
FDA-2011-P-0482-0001_Novo_Nordisk__Inc____Citizen_Petition.pdf,2011-06-17,Not Mentioned,Novo Nordisk Inc.,"Self-filed by Novo Nordisk Inc. through Jeremy Berger, Senior Litigation Attorney","[""21 CFR 10.30"", ""21 CFR 314.161(a)(1)"", ""21 CFR 314.127(a)(7)""]",Approval of ANDAs for generic versions of Vagifem (estradiol vaginal tablets),Refrain from approving any ANDA for either strength of Vagifem unless or until the applicant provides data from well-controlled multiple endpoint clinical trials and include information about the availability of and recommendation to begin treatment on the 10 mcg dosage strength,"Clinical trial data is necessary to demonstrate bioequivalence, and omitting information about the lower dose could expose women to higher dosages than necessary",Complete,97.1%,None
FDA-2011-P-0482-0005_FDA_CDER_to_Novo_Nordisk_Inc___Citizen_Petition_Pa.pdf,2009-02-18,Not Mentioned,Novo Nordisk Inc.,Self-filed by Novo Nordisk Inc.,"[""21 U.S.C. § 355(j))"", ""Section 505G)(2)(A)(iv) of the FD&C Act"", ""Section 505G)(8)(B)(i) of the FD&C Act"", ""Section 505G)(8)(C) of the FD&C Act"", ""Section 505Q)(7)(A)(i)(III) of the FD&C Act"", ""21 CFR 314.94(a))"", ""21 CFR 314.127(a)(6)(i))"", ""21 CFR 320.1(e))""]",ANDA approval process for Vagifem (estradiol vaginal tablets),"Require ANDAs to contain data from adequate and well-controlled, multiple-endpoint clinical studies demonstrating equivalent safety and therapeutic effect; PK data showing comparable systemic estradiol blood levels; and labeling recommendations for the lowest effective dose",To ensure that generic products are as safe and effective as Vagifem,Complete,94.3%,None
FDA-2011-P-0488-0001_Sandoz__Inc____Citizen_Petition.pdf,2011-06-21,Not Mentioned,Sandoz Inc.,Self-filed by Sandoz Inc. through William Kwok,"[""21 CFR 10.30"", ""21 CFR 25.31(a)"", ""21 CFR 314.161"", ""21 CFR 314.161(a)."", ""21 CFR 314.161(e)""]","Taxotere (docetaxel) injection, 40 mg/mL approval status",Determination that Taxotere was not withdrawn for safety or effectiveness reasons to allow ANDA submissions,No information suggesting withdrawal due to safety or effectiveness issues,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0497-0001_Washington_Legal_Foundation___Citizen_Petition.pdf,2011-06-28,Not Mentioned,Washington Legal Foundation,Self-filed by Washington Legal Foundation,"[""5 U.S.C. Appx."", ""21 CFR 10.30""]",Use of advice from Institute of Medicine committee for the 510(k) program review,Not to use any advice or recommendations provided by the Institute of Medicine (IOM) Committee and issue guidance on FDA's obligations under FACA § 15,"The IOM Committee is not 'fairly balanced' as required by FACA, thus its advice cannot be used without violating federal law",Complete,96.8%,None
FDA-2011-P-0497-0003_FDA_OC_to_Washington_Legal_Foundation___Petition_D.pdf,2011-06-28,Not Mentioned,Washington Legal Foundation,Self-filed by Washington Legal Foundation,"[""5 U.S.C. App."", ""41 CFR § 102-3.185"", ""45 U.S.C. App. § 15(b)(1)""]",Use of advice from IOM committee that fails to comply with FACA's fair balance requirement,Issue a determination that FDA is barred by FACA from using any advice or recommendation from the IOM 510(k) Committee and proceed with comprehensive review of the 510(k) program without obtaining input from the IOM; issue guidance document explaining FDA's obligations under FACA,"The composition of the IOM 510(k) Committee does not comply with FACA's fair balance requirement, and issuing a guidance document would assist in avoiding appointment of committees that do not meet any plausible definition of 'fairly balanced'",Complete,96.4%,None
FDA-2011-P-0512-0009_Citizen_Petition_Approval_Response_from_FDA_CDER_t.pdf,2013-09-03,Not Mentioned,"Medical Information Working Group (MIWG) on behalf of multiple pharmaceutical companies including Pfizer, Inc.",Filed by Ropes & Gray LLP on behalf of Medical Information Working Group (MIWG),"[""21 CFR 10.115"", ""21 CFR 201.5"", ""21 CFR 201.100(c)(1)"", ""21 CFR 201.115"", ""21 U.S.C. § 321(m)"", ""21 U.S.C. § 355(a)"", ""21 U.S.C. § 331(d)"", ""21 U.S.C. § 352(f)""]",Regulations and policies governing communications about medical products,"Clarify regulations and policies regarding manufacturer communications, including responses to unsolicited requests, scientific exchange, interactions with formulary committees, payors, dissemination of third-party clinical practice guidelines, and health care economic information.",To provide clarity on truthful and non-misleading scientific communications related to investigational new drugs and devices and off-label uses of marketed drugs and devices.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0512-0011_Petition_to_Stay_and_for_Reconsideration.pdf,2017-02-08,Not Mentioned,"Medical Information Working Group (MIWG), the Pharmaceutical Research and Manufacturers of America (PhRMA), and the Biotechnology Innovation Organization (BIO)","Self-filed by Medical Information Working Group, PhRMA, and BIO","[""21 CFR 10.35(b)"", ""21 CFR 10.33(b)"", ""21 CFR 201.128"", ""21 CFR 801.4""]","Clarification of When Products Made or Derived From Tobacco Are Regulated As Drugs, Devices, or Combination Products; Amendments to Regulations Regarding “Intended Uses”",Indefinitely stay the Final Rule and reconsider the Final Rule,The revisions would run contrary to settled interpretations of FDCA and could negatively impact public health by chilling scientific speech.,Complete,96.7%,None
FDA-2011-P-0512-0013_Petition_Interim_Response_from_FDA_OP_to_MIWG.pdf,Not Mentioned,"February 8, 2017 (petition received)",Stansel Pharmaceutical Research and Manufacturers of America,Filed by Ropes & Gray LLP on behalf of Stansel Pharmaceutical Research and Manufacturers of America,"[""21 CFR 10.30(e)(2))""]","Clarification of When Products Made or Derived From Tobacco Are Regulated as Drugs, Devices or Combination Products; Amendments to Regulations Regarding 'Intended Uses'",Reconsideration and indefinite stay of the Final Rule,Petition raises complex issues requiring further review and analysis,Complete,88.6%,None
FDA-2011-P-0515-0004_Petitions_Response_to_Pharmacists_Planning_Service.pdf,2011-07-06,Not Mentioned,"Pharmacists Planning Service, Inc.","Self-filed by Pharmacists Planning Service, Inc.","[""21 CFR 341.20(a)"", ""21 CFR 341.80(d)(I)""]",Removal of pseudoephedrine (PSE) from the marketplace,Remove PSE from the market immediately,Frequent diversion to illegal manufacture of methamphetamine and inadequacy of existing measures,Complete,95.8%,None
FDA-2011-P-0540-0001_Pharmgate__LLC___Citizen_Petition.pdf,2011-07-12,Not Mentioned,"Pharmgate, LLC","Submitted by Michael A. Brauer, PhD, Regulatory Consultant to Pharmgate, LLC on behalf of Pharmgate, LLC","[""21 CFR 558.128"", ""21 CFR 25.33(h)"", ""Section 512(n)(3) of the Federal Food, Drug, and Cosmetic Act""]",Suitability petition for an Abbreviated New Animal Drug Application,"Accept for filing and review under section 512(b)(2) of the Act, an Abbreviated New Animal Drug Application for a proposed generic animal drug to be marketed in three strengths",The proposed generic animal drug is bioequivalent to the approved reference product and meets all regulatory requirements without additional safety and effectiveness studies.,Complete,84.9%,Date of Petition
FDA-2011-P-0540-0003_Pharmgate_LLC_Withdrawal_of_Suitability_Petition.pdf,2013-04-02,Not Mentioned,Phaimgate LLC,Self-filed by Phaimgate LLC through regulatory affairs department,"[""Not Mentioned""]",Suitability petition FDA-2011-P-0540-0001,Withdraw suitability petition FDA-2011-P-0540-0001,"After further review and discussion with the Center of Veterinary Medicine, a suitability petition is not required.",Complete,94.3%,None
FDA-2011-P-0550-0001_B__Braun_Medical__Inc____Citizen_Petition.pdf,2011-06-27,Not Mentioned,B Braun Medical Inc.,Self-filed by B Braun Medical Inc. through Regulatory Affairs department,"[""21 CFR 10.20"", ""21 CFR 10.30"", ""21 CFR 314.93"", ""Section 505(j)(2)(c) of the FD&C Act""]","Suitability Petition for ANDA 18-681, Lactated Ringers for Irrigation in PICTM (Plastic Irrigation Container)",Determine suitability to package a 3 liter large volume parenteral of Lactated Ringer's for Irrigation product as a Prior Approval Supplement,"The proposed product is bioequivalent and contains the same ingredients in the same concentration as currently approved products, thus meeting regulatory requirements.",Complete,95.5%,None
FDA-2011-P-0550-0003_B_Braun_Medical_Inc_Withdrawal_of_Citizen_Petition.pdf,2012-08-02,Not Mentioned,B Braun Medical Inc.,Self-filed by B Braun Medical Inc. through regulatory affairs department,"[""21 CFR 10.30""]",Suitability Petition for Lactated Ringers for Irrigation in PIC™,Withdraw the suitability petition and submit a citizen's petition to designate Hospira's product as the Reference Listed Drug (RLD),Mr. Johnny Young of FDA recommended withdrawing the suitability petition and submitting a new citizen's petition,Complete,92.9%,None
FDA-2011-P-0551-0001_B__Braun_Medical__Inc____Citizen_Petition.pdf,2011-06-27,Not Mentioned,B Braun Medical Inc.,Self-filed by B Braun Medical Inc. through regulatory affairs department,"[""21 CFR 10.20"", ""21 CFR 10.30"", ""21 CFR 314.93"", ""Section 505(j)(2)(c) of the FD&C Act""]",Suitability Petition for ANDA 019633,Determine suitability to package Sterile Water for Injection in 2 liter and 3 liter pharmacy bulk packages via a Prior Approval Supplement,"The proposed product is bioequivalent to the currently approved product, as per 21 CFR § 320.22(b)(1)",Complete,95.5%,None
FDA-2011-P-0552-0001_Robert_Wagner___Citizen_Petition_2_.pdf,2011-07-11,Not Mentioned,Robert Wagner (individual petitioner),Self-filed by Robert Wagner,"[""21 CFR 10."", ""21 CFR 10.30"", ""21 CFR 1000."", ""21 CFR 1000.15(b)""]",Regulation related to outdoor luminaires,Issue a regulation requiring warning statements on outdoor lighting products,"Exposure to light at night impairs the body's ability to produce melatonin and disrupts circadian rhythm, potentially leading to health issues such as cancer and metabolic disorders.",Complete,76.4%,Identity of Submitting Entity
FDA-2011-P-0552-0004_FDA_CDRH_Response_to_Robert_Wagner___Petition_Deni.pdf,2011-07-11,Not Mentioned,Robert Wagner (individual petitioner),Self-filed by Robert Wagner,"[""Not Mentioned""]",Regulation related to outdoor luminaires and warning statements,Issue a regulation requiring outdoor luminaires to have a clearly visible warning statement about exposure to light at night,Exposure to light at night can negatively impact human health,Complete,75.6%,Identity of Submitting Entity
FDA-2011-P-0573-0059_Citizen_Petition_Denial_Response_from_FDA_CTP_to_R.pdf,Not Mentioned,"July 28, 2011 (original petition date)","R.J. Reynolds Tobacco Company and American Snuff Company, LLC","Self-filed by R.J. Reynolds Tobacco Company and American Snuff Company, LLC","[""5 U.S.C. § 553"", ""15 U.S.C. § 4402(a)(1)"", ""21 U.S.C. § 387 note""]",Smokeless tobacco warning statements,"Initiate rulemaking to change the smokeless tobacco warning statement from &quot;WARNING: This product is not a safe alternative to cigarettes.&quot; to either &quot;WARNING: No tobacco product is safe, but this product presents substantially lower risks to health than cigarettes.&quot; or &quot;WARNING: No tobacco product is safe; however, exclusive use of smokeless tobacco products presents substantially less risk to health than cigarettes.&quot;",The proposed warning would promote greater public understanding of the relative risks between smokeless tobacco and cigarettes,Complete,88.8%,None
FDA-2011-P-0575-0001_Warner_Chilcott_Company__LLC____Citizen_Petition.pdf,2011-07-29,Not Mentioned,"Warner Chilcott Company, LLC","Filed by Warner Chilcott Company, LLC; no separate representation mentioned","[""21 U.S.C. § 355(j)"", ""21 U.S.C. § 355(q)"", ""21 CFR 10.30"", ""21 CFR 314.94"", ""21 CFR 320.21""]",Bioequivalence standards for mesalamine delayed-release tablets,Apply previously announced bioequivalence standards to Par Pharmaceutical's ANDA and other relevant ANDAs,"To ensure that generic drugs meet the same rigorous standards as their reference listed drugs, particularly in cases where traditional bioequivalence tests may not be sufficient due to the unique properties of mesalamine delayed-release tablets",Complete,95.3%,None
FDA-2011-P-0578-0001_Academic_Pharmaceuticals__Inc____Citizen_Petition.pdf,2011-07-27,Not Mentioned,Academic Pharmaceuticals Inc.,Self-filed by Academic Pharmaceuticals Inc.,"[""21 CFR 10.20"", ""21 CFR 10.30"", ""21 CFR 25.31""]",Relisting of Bretylium Tosylate Injection in the Orange Book,Determine whether Bretylium Tosylate 50 mg/mL injection (NDA# 019030) has been discontinued or withdrawn for issues of safety or effectiveness and relist the drug.,"The discontinuation was due to unavailability of the product, not due to safety or efficacy issues. Bretylium Tosylate Injection is a critically needed therapy that provides an alternative treatment option in cases where amiodarone fails.",Complete,95.0%,None
FDA-2011-P-0580-0001_Charles_Watson___Citizen_Petition__Redacted_.pdf,2011-05-19,Not Mentioned,Charles Watson (individual petitioner),Self-filed by Charles Watson,"[""21 CFR 10.30"", ""21 U.S.C. § 355"", ""45 CFR 46.306."", ""42 U.S.C. § 241"", ""42 U.S.C. § 285c-5"", ""42 U.S.C. § 284""]",Postmarketing clinical trial involving prisoners suffering from Hep C,Explore feasibility of conducting a postmarketing clinical trial involving New York State prisoners who suffer from Hepatitis C,"High prevalence of Hepatitis C in prison population, potential benefits to drug industry and prisoners",Complete,76.9%,Identity of Submitting Entity
FDA-2011-P-0590-0001_Kim_Witczak_and_William_Vaughn___Citizen_Petition_.pdf,2011-08-05,Not Mentioned,Kim Witczak and William Vaughan (individual petitioners),Self-filed by Kim Witczak and William Vaughan,"[""21 U.S.C. § 355(k)"", ""21 CFR 5.10""]",Patient involvement in adverse drug and device event reporting,Implement a pilot program to actively involve patients in the reporting of adverse drug and device events using e-mail and smartphone technologies,"Patients can provide unique insights into adverse effects that are often missed by healthcare providers, improving the quality and quantity of safety reports",Complete,78.0%,Identity of Submitting Entity
FDA-2011-P-0596-0010_Dr_Richard_M_Fleming_Petition_for_Reconsideration_.pdf,2012-09-14,Not Mentioned,Dr. Richard M. Fleming (individual petitioner),Self-filed by Dr. Richard M. Fleming,"[""21 CFR § 10.20"", ""21 CFR § 10.33""]",Denial of Docket No. FDA-2011-P-0596,Reconsideration and action on the petition regarding product labeling changes for Myoview and Sestamibi isotopes,"Failure to recognize redistribution properties in product labeling forces clinicians to use a two-injection rest-stress approach, leading to significant health risks and unnecessary costs.",Complete,77.6%,Identity of Submitting Entity
FDA-2011-P-0606-0001_Actavis__Inc__Citizen_Petition.pdf,2011-08-17,Not Mentioned,Actavis Inc.,Self-filed by Actavis Inc. through Regulatory and Medical Affairs department,"[""21 CFR 10.30"", ""Section 505(j) of the FD&C Act""]",Designation of reference-listed drug (RLD) in Orange Book,"Designate Veltin® (clindamycin phosphate and tretinoin) Topical Gel, NDA 50803, as a second RLD for purposes of submitting an ANDA","Veltin® is not interchangeable with the currently designated RLD Ziana®, thus it should be designated as a second RLD to avoid shielding from generic competition",Complete,94.8%,None
FDA-2011-P-0606-0005_FDA_CDER_to_Actavis_Inc__Petition_Approval.pdf,Not Mentioned,"August 18, 2011 (implied from FDA response date)","Actavis, Inc.","Self-filed by Actavis, Inc. through regulatory affairs department","[""21 CFR 300."", ""21 CFR 300.50."", ""21 CFR 314.1"", ""21 CFR 314.3."", ""21 U.S.C. § 355G))"", ""Section 505(c) of the FD&C Act"", ""Section 5050) of the FD&C Act""]",Designation of Veltin as a second reference listed drug,"Designate Veltin (clindamycin phosphate and tretinoin) Topical Gel, 1.2%/0.025% as a second RLD",Veltin is BX-rated to Ziana and is therefore not interchangeable; this rating effectively shields Veltin from generic competition,Complete,89.4%,None
FDA-2011-P-0609-0001_Elizabeth_Kohler___Citizen_Petition.pdf,2010-09-06,Not Mentioned,Elizabeth Kohler (individual petitioner),Self-filed by Elizabeth Kohler,"[""21 U.S.C. § 379e(a)(l)(A)"", ""FD&C Act Section 721(c)""]",Hair extension product safety and labeling,"Order the submission of ingredients, manufacturing processes, and a product sample of 'Great Lengths' hair extensions to the petitioner's doctor for emergency medical treatment",The petitioner suffered severe injuries due to undisclosed ingredients in hair extensions products,Complete,75.1%,Identity of Submitting Entity
FDA-2011-P-0609-0003_FDA_CFSAN_to_Elizabeth_Kohler_Petition_Denial.pdf,2011-09-06,Not Mentioned,Trading Company,Self-filed by Trading Company,"[""21 CFR 10.30(e)(3)"", ""21 U.S.C. § 321(i)"", ""5 U.S.C. § 551"", ""Section 201(i) of the FD&C Act""]",Request for FDA to order specific entities to submit product information and samples,Order specific salon professionals or cosmetic manufacturers to deliver product information or samples to a health professional,Emergency medical treatment required due to use of 'Great Lengths' hair extensions,Complete,94.7%,None
FDA-2011-P-0610-0010_Petition_Approval_Denial_from_FDA_CDER.pdf,Not Mentioned,Not Mentioned,AbbVie Inc.,Filed by Mayer Brown LLP and Hogan Lovells US LLP on behalf of AbbVie Inc.,"[""21 U.S.C. § 355(b)(2)"", ""Section 505(b) of the FD&C Act"", ""Section 505(j) of the FD&C Act""]",Therapeutic equivalence ratings for drug products approved under section 505(b)(2) of the FD&C Act,Refrain from granting a therapeutic equivalence (TE) rating for any drug approved under section 505(b)(2) that references AndroGel until the Agency has conducted a rulemaking under the Administrative Procedure Act (APA),"To establish procedures and standards governing such listings, ensuring legal process is available to interested parties",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0623-0006_Citizen_Petition_Final_Response_from_FDA_CTP_to_Hy.pdf,2011-08-24,Not Mentioned,International Premium Cigar & Pipe Retailers Association (IPCPR),"Filed by Hyman, Phelps & McNamara, P.C. on behalf of International Premium Cigar & Pipe Retailers Association (IPCPR)","[""21 CFR 10.30"", ""21 CFR 10.40"", ""5 U.S.C. § 551""]","Regulation of cigars under the Federal Food, Drug, and Cosmetic Act",Initiate rulemaking to define 'traditional large and premium cigar' and exempt them from regulation,Not explicitly stated in provided text,Complete,91.9%,None
FDA-2011-P-0637-0001_Alliance_for_Natural_Health_USA___Citizen_Petition.pdf,2011-08-11,Not Mentioned,Alliance for Natural Health USA,Self-filed by Alliance for Natural Health USA,"[""21 U.S.C. § 355(e)(3)"", ""21 CFR 10.30""]",Black box warning requirements for SSRI medications,"Expand black box warnings on SSRI medication labels to include risk of violence towards others, both for humans and animals",Overwhelming research suggests that SSRIs increase the risk of violent behavior. The petition cites multiple studies and adverse event reports indicating a significant association between SSRI use and acts of violence.,Complete,95.1%,None
FDA-2011-P-0641-0007_Citizen_Petition_Denial_Response_from_FDA_CDRH_to_.pdf,2011-08-25,Not Mentioned,Public Citizen's Health Research Group,Self-filed by Public Citizen's Health Research Group,"[""21 CFR 10.30"", ""21 CFR 860"", ""21 CFR 895"", ""21 U.S.C. § 360f"", ""Section 513(e) of the FD&C Act"", ""Section 515(b) of the FD&C Act""]",Marketing and classification of non-absorbable surgical mesh for transvaginal repair of pelvic organ prolapse (POP),"[""Ban the marketing of all currently available non-absorbable surgical mesh products specifically designed and labeled for transvaginal repair of POP"", ""Order manufacturers to recall these devices"", ""Classify new non-absorbable surgical mesh product for transvaginal repair of POP as class III devices and approve them only under a premarket approval application (PMA)""]","High rates of serious complications associated with the use of non-absorbable surgical mesh products, lack of clinically significant benefits compared to traditional repairs without placement of surgical mesh",Complete,96.4%,None
FDA-2011-P-0646-0008_Amended_Citizen_Petition_from_City_of_Philadelphia.pdf,2015-09-08,Not Mentioned,City of Philadelphia Department of Public Health,"Self-filed by City of Philadelphia Department of Public Health through James W. Buehler, MD, Health Commissioner","[""21 CFR 100."", ""21 CFR 100.1"", ""21 CFR 100.1(d)(3))"", ""21 CFR 100.1(d)(3)."", ""21 CFR 101."", ""21 CFR 101.11"", ""21 CFR 101.11."", ""21 CFR 25."", ""21 CFR 25.30"", ""21 CFR 808."", ""21 CFR 808.71(a)(1)."", ""21 CFR 808.80(a)(1)"", ""21 U.S.C. § 343(q)("", ""21 U.S.C. § 343(q)(5)(H)."", ""21 U.S.C. § 343-"", ""21 U.S.C. § 343-1"", ""21 U.S.C. § 343-1(a)"", ""21 U.S.C. § 343-1(a)(4)"", ""21 U.S.C. § 343-1(b)"", ""21 U.S.C. § 343-1(b)."", ""21 U.S.C. § 343-l(a)("", ""21 U.S.C. § 343-l(a)(4)"", ""Section 403A(b) of the FD&C Act""]",Preemption for State requirement,Exempt Philadelphia Ordinance 080167-A from preemption to require sodium values on menus,"High rates of hypertension, heart disease, and premature cardiovascular mortality in Philadelphia; local study demonstrating effectiveness of sodium labeling",Complete,98.0%,None
FDA-2011-P-0654-0001_Acorda_Therapeutics__Inc____Citizen_Petition.pdf,2011-09-06,Not Mentioned,"Acorda Therapeutics, Inc.","Self-filed by Acorda Therapeutics, Inc. through Andrew Blight, Chief Scientific Officer","[""21 CFR ."", ""21 CFR 505(j)(4)"", ""21 U.S.C. § 355(q)(1)(H)"", ""Section 505 of the FD&C Act""]","Approval process for ANDA No. 78-868 filed by Apotex, Inc.",Disapprove the Apotex ANDA due to lack of bioequivalence and false labeling,Apotex's representations in patent litigation indicate that their product is not bioequivalent to Acorda's RLD under fed-state conditions and contains misleading statements about PK characteristics.,Complete,97.4%,None
FDA-2011-P-0654-0009_FDA_CDER_toAcorda_Therapeutics__Inc___Petition_Den.pdf,2011-09-07,Not Mentioned,"Acorda Therapeutics, Inc.","Self-filed by Acorda Therapeutics, Inc. through Andrew Blight, Ph.D., Chief Scientific Officer","[""21 CFR 320.1"", ""21 CFR 3l4.94(a)(8)(iv)"", ""Section 505(j)(2)(A)(iv) of the FD&C Act""]",Approval of Apotex's ANDA #78-868 for generic tizanidine hydrochloride capsules,Deny approval of Apotex's ANDA #78-868,Claims that the ANDA should not be approved due to lack of bioequivalence in fed state and false/misleading labeling,Complete,92.1%,None
FDA-2011-P-0657-0001_Citizen_Petition_from_the_National_Organization_fo.pdf,2011-09-02,Not Mentioned,National Organization for Rare Disorders (NORD),Self-filed by National Organization for Rare Disorders (NORD),"[""FD&C Act"", ""Public Law 111-80, Section 740""]",Guidance document on internal review standards for orphan drugs,"Include specific topics in the guidance document regarding clinical trials and FDA review of marketing applications for orphan drugs, and mandate training for reviewers","The request is consistent with recommendations from the Institute of Medicine report, testimony at a public hearing, and the Report to Congress on rare diseases.",Complete,90.0%,None
