File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,completeness_status,completeness_rate,missing_or_wrong_data
FDA-2011-P-0606-0004_Interim_Response_to_Actavis__Inc____Letter.pdf,2012-02-15,Not Mentioned,CDER,other: interim response provided due to other priorities,"[""21 CFR 10.30(e)(2))""]",FDA has not yet resolved the issues raised in the petition due to the need to address other Agency priorities.,Mostly Complete,64.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0610-0003_FDA_CDER_interim_response_to_Mayer_Brown_LLP__date.pdf,2012-02-16,Not Mentioned,CDER,other: interim response,"[""21 CFR 10.30(e)(2)""]",The petition raises complex issues requiring extensive review and analysis by Agency officials.,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0623-0003_FDA_CTP_Interim_Response_to_International_Premium_.pdf,Not Mentioned,"August 24, 2011",CTP,other: interim response provided,"[""21 CFR 10.30(e)(2)""]",Complex issues requiring extensive review and analysis; future rulemaking under the Tobacco Control Act,Mostly Complete,54.7%,Responding FDA Center; Response to Petition
FDA-2011-P-0637-0003_FDA_CDER_Interim_Response_to_Alliance_for_Natural_.pdf,2012-02-22,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2))""]",Complex issues requiring extensive review and analysis by Agency officials,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0637-0004_Response_Letter_to_Alliance_for_Natural_Health_fro.pdf,2019-08-26,Not Mentioned,"CDER, CVM",denied,"[""21 CFR 201.56(d)(1)"", ""21 CFR 201.57(c)(7)"", ""21 CFR 201.80(e)"", ""21 U.S.C. § 355(0)(4)"", ""Section 505(0)(4) of the FD&C Act"", ""21 U.S.C. § 355-1(b)(3)"", ""Section 505-1(b)(3) of the FD&C Act""]","The FDA reviewed available literature and data on SSRIs in both humans and animals, finding insufficient evidence to support an increased risk of violence towards others. The petition did not provide sufficient information to warrant expanding boxed warnings.",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0641-0005_FDA_CDRH_Interim_Response_to_Public_Citizen_Health.pdf,2012-02-10,Not Mentioned,CDRH,other: interim response,"[""21 U.S.C. § 360(f)"", ""21 U.S.C. § 360(h)"", ""21 CFR § 10.30"", ""21 CFR § 810"", ""21 CFR § 895""]",Further review and analysis by agency officials is required before reaching a decision on the petition.,Mostly Complete,60.2%,Responding FDA Center; Response to Petition
FDA-2011-P-0642-0003_Interim_Response_to_Center_for_Inquiry_and_the_Com.pdf,2012-02-02,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2))""]",Complex issues requiring extensive review and analysis by Agency officials,Incomplete,48.8%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0642-0016_Final_Response_from_FDA_CDER_to_Center_for_Inquiry.pdf,2020-05-12,Not Mentioned,CDER,denied,"[""21 U.S.C. § 321(g)(1))"", ""Section 201(p) of the FD&C Act"", ""Section 505(a) of the FD&C Act"", ""Section 505G of the FD&C Act""]","FDA determined that rulemaking would not be the most efficient and effective use of FDA’s resources. Instead, they intend to proceed with finalizing a revised draft guidance reflecting FDA's risk-based enforcement priorities for homeopathic drug products.",Complete,81.0%,Responding FDA Center
FDA-2011-P-0646-0003_Interim_Response_to_City_of_Philadephia_Department.pdf,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Complete,100.0%,None
FDA-2011-P-0646-0031_Interim_Response_Letter_from_FDA_CFSAN_to_Deparmen.pdf,2015-12-03,Not Mentioned,CFSAN,"other: tentative response, further evaluation pending","[""21 CFR 100.1"", ""21 U.S.C. § 343-1(b)""]",FDA has not been able to reach a decision within 90 days due to competing priorities and will evaluate the merits of the petition further.,Mostly Complete,63.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0657-0003_Interim_Response_Letter_from_FDA_CDER_to_National_.pdf,2012-03-07,Not Mentioned,CDER,other: interim response provided due to other Agency priorities,"[""21 CFR 10.30(e)(2)""]",FDA has not yet resolved the issues raised in the petition due to the need to address other Agency priorities.,Mostly Complete,64.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0660-0003_FDA_CDRH_interim_response_to_RegulatorPro_com.pdf,2012-02-07,Not Mentioned,CDRH,other: interim response,"[""21 CFR 10.30(e)(2))""]",Further review and analysis by agency officials is required before reaching a decision on the petition.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0671-0004_Interim_Response_to_Beverly_Mikuriya__M_D___and_Wi.pdf,2012-03-07,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2)""]",Significant issues requiring extensive review and analysis by Agency officials,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0671-0005_Final_Response_from_FDA_CDER_to_William_McPike__Es.pdf,2022-11-02,Not Mentioned,CDER,denied,"[""21 CFR 10.50(c)"", ""21 CFR 314.200(e)(2)"", ""21 U.S.C. § 321(p)(1)"", ""21 U.S.C. § 355"", ""21 U.S.C. § 701"", ""Section 201(p) of the FD&C Act"", ""Section 505 of the FD&C Act""]","The petitioners did not provide sufficient information to demonstrate that bulk cannabis and cannabis tincture meet the pre-1938 exemption criteria under the FD&C Act. Additionally, they failed to show that a public evidentiary hearing would be in the public interest.",Complete,98.2%,None
FDA-2011-P-0675-0006_Interim_Response_to_Public_Citizen_Health_Research.pdf,2012-03-09,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2)"", ""21 CFR 314.70""]",Complex issues requiring extensive review and analysis by Agency officials,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0675-0009_FDA_CDER_Response_to_Public_Citizen_Health_Researc.pdf,2013-11-08,Not Mentioned,CDER,partially approved,"[""21 CFR 201.57(c)"", ""21 CFR 201.57(c)(6)(i)"", ""21 CFR 314.150(b)(10)"", ""21 CFR 314.70"", ""21 CFR 314.80"", ""21 CFR 314.80(b)"", ""21 CFR 314.81"", ""21 CFR 314.98"", ""21 CFR 505(k)"", ""21 U.S.C. § 331(a)""]","The petition is partially approved due to the proposed rule allowing ANDA holders to independently update product labeling based on newly acquired safety information, while denying requests to clarify reporting requirements as they are already covered by existing regulations.",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0696-0004_FDA_Response_to_Stat_Trade__Inc___Kleinfeld_Kaplan.pdf,2011-10-27,Not Mentioned,Not Mentioned,denied,"[""21 CFR 10.35(e)"", ""21 CFR 10.35(f)"", ""21 U.S.C. § 379h(a)(2)"", ""21 U.S.C. § 379h(a)(3)(B)"", ""21 U.S.C. § 379h(d)(I)(B)"", ""21 U.S.C. § 379h(e)"", ""21 U.S.C. § 379h(h)3""]","The FDA denies the request for a stay because it does not meet the criteria in 21 C.F.R. § 10.35(e)(I), (3), or (4). The petition does not demonstrate sound public policy grounds, the delay from granting a stay is outweighed by public interest, and Stat-Trade has not shown irreparable injury.",Complete,99.1%,None
FDA-2011-P-0702-0003_FDA_CDER_Final_response_to_Warner_Chilcott__US___L.pdf,2012-02-08,Not Mentioned,CDER,denied,"[""21 CFR 314.93"", ""21 CFR 314.94(a)(8)(iv)"", ""21 U.S.C. § 355G"", ""Section 505 of the FD&C Act""]","FDA has interpreted the difference-due-to-different-manufacturers exception to apply when an aspect of the ANDA product that is not required by statute or regulation to be the same as that of the RLD (such as scoring pattern) is different, allowing labeling differences.",Complete,80.9%,Responding FDA Center
FDA-2011-P-0717-0003_Interim_Response_to_Cooley_LLP___Letter.pdf,2012-03-07,Not Mentioned,CDER,other: interim response,"[""21 CFR 10.30(e)(2)""]",Complex issues requiring extensive review and analysis by Agency officials,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0725-0003_Interim_Response_to_Rush_University_Medical_Center.pdf,2012-03-08,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2)""]",Complex issues requiring extensive review and analysis by Agency officials,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0727-0004_Interim_Response_to_12TH_Man_Technologies___Letter.pdf,2012-04-07,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2))""]",Complex issues requiring extensive review and analysis by Agency officials,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0741-0003_Interim_Response_to_Public_Citizens_Health_Researc.pdf,2012-04-03,Not Mentioned,CDER,other: interim response,"[""21 CFR 10.30(e)(2))""]",The issues raised in the petition are complex and require extensive review and analysis by Agency officials.,Incomplete,49.1%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0744-0003_Interim_Response_to_Lachman_Consultant_Services_In.pdf,2012-03-29,Not Mentioned,CDER,other: interim response provided due to other priorities,"[""21 CFR 10.30(e)(2))""]",FDA has not yet resolved the issues raised in the petition due to the need to address other Agency priorities.,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0744-0004_Final_Response_letter_from_FDA_CDER_to_Lachman_Con.pdf,2021-03-18,Not Mentioned,CDER,approved,Not Mentioned,"The petition is dismissed as moot since the Orange Book has been updated to designate Oxaydo (oxycodone hydrochloride) tablets, 5 mg and 7.5 mg, subject of NDA 202080, as a reference listed drug.",Complete,98.8%,None
FDA-2011-P-0745-0004_FDA_CFSAN_Interim_Response_to_Natural_Resources_De.pdf,2012-06-25,Not Mentioned,CFSAN,other: tentative response due to resource limitations,"[""21 CFR 10.30(e)(2)(iii)""]",Limited availability of agency resources and other priorities prevented a decision within 180 days,Mostly Complete,63.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0763-0006_Withdrawal_Letter_from_OFW_Law.pdf,Not Mentioned,2015-10-05,Not Mentioned,withdrawn,"[""21 CFR 161."", ""21 CFR 161.190""]",The petition has been withdrawn and a new one submitted in its place.,Complete,93.1%,None
FDA-2011-P-0777-0003_Interim_Response_to_Institute_for_Health_Quality_a.pdf,2012-04-12,Not Mentioned,CDRH,other: interim response,"[""21 CFR 10.30(e)(2))""]",Further review and analysis by agency officials is required before reaching a decision on the petition.,Mostly Complete,62.0%,Responding FDA Center; Response to Petition
FDA-2011-P-0777-0009_FDA_OC_Response_to__Institute_for_Health_Quality_a.pdf,2013-10-28,Not Mentioned,CDRH,denied,"[""21 CFR 10.3(a)"", ""21 CFR 900.12(c)(1)"", ""21 CFR 900.12(c)(2)(i))"", ""21 CFR 900.12(c)(2)(ii))"", ""42 U.S.C. § 263b""]",FDA is denying the immediate implementation of breast tissue density reporting in mammography reports due to ongoing evaluation and drafting of proposed regulations under the Mammography Quality Standards Act.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0798-0004_FDA_CDER_Interim_Response_to_Dr_S_Albert_Edwards_L.pdf,2013-08-04,Not Mentioned,CDER,other: interim response provided due to other Agency priorities,"[""21 CFR 10.30(e)(2)""]",FDA has been unable to reach a decision on the petition due to the need to address other Agency priorities.,Complete,68.5%,Date of Response; Response to Petition
FDA-2011-P-0798-0005_Withdrawal_Letter_from_Dr__S__Albert_Edwards_Redac.pdf,2020-01-27,Not Mentioned,Not Mentioned,withdrawn,"[""21 CFR 10.30""]",The petition is withdrawn without prejudice to resubmission at any time.,Complete,98.5%,None
FDA-2011-P-0801-0003_Holland___Knight__LLP___Withdrawal_of_Citizen_Peti.pdf,Not Mentioned,2011-11-02,Not Mentioned,withdrawn,Not Mentioned,Petition withdrawn at the request of the petitioner,Complete,95.4%,None
FDA-2011-P-0820-0003_FDA_CDRH_Interim_Response_to_G_Scott_Crowther_PE_L.pdf,2014-05-07,Not Mentioned,CDRH,other: interim response,"[""21 CFR 10.30(e)(2))""]",Further review and analysis by agency officials is required before reaching a decision on the petition.,Incomplete,46.3%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0821-0005_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,2014-11-14,Not Mentioned,CDER,approved,"[""21 CFR 314.93"", ""21 CFR 314.93(e)(1)"", ""21 CFR 314.94(a)(3)(iii)"", ""Section 505(j)(2)(A) of the FD&C Act"", ""Section 505(j)(2)(C) of the FD&C Act""]","The proposed change in strength does not pose questions of safety or effectiveness, and is consistent with dosing recommendations in the labeling of the listed drug. The product can be expected to have the same therapeutic effect as the reference listed drug if shown to meet bioequivalence requirements.",Complete,80.6%,Responding FDA Center
FDA-2011-P-0823-0003_FDA_CDER_Response_to_AstraZeneca_Pharmaceuticals_L.pdf,2012-05-14,Not Mentioned,CDER,denied,"[""21 U.S.C. § 355(q)""]",The petition's arguments are likely moot before FDA can approve a pending application due to existing litigation and exclusivity periods preventing approval until after the specified dates.,Complete,97.8%,None
FDA-2011-P-0851-0004_Withdrawal_from_Orthopaedic_Surgical_Manufacturers.pdf,Not Mentioned,2019-05-06,Not Mentioned,withdrawn,"[""Section 501(c)(6) of the Internal Revenue Code""]",The Orthopedic Surgical Manufacturers Association (OSMA) has formally withdrawn their reclassification petition.,Complete,97.2%,None
FDA-2011-P-0852-0003_FDA_CDER_Interim_Response_to_Dr__S_Albert_Edwards_.pdf,2012-05-18,Not Mentioned,CDER,other: interim response provided due to other priorities,"[""21 CFR 10.30(e)(2))""]",FDA has not yet resolved the issues raised in the petition due to the need to address other Agency priorities.,Mostly Complete,64.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0869-0004_FDA_CDER_Interim_Response_to_Hyman_Phelps_and_McNa.pdf,2012-05-30,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2))""]",Complex issues requiring extensive review and analysis by Agency officials,Mostly Complete,63.7%,Responding FDA Center; Response to Petition
FDA-2011-P-0869-0006_FDA_CDER_Response_to_Hyman_Phelps_and_McNamara_P_C.pdf,2018-09-01,Not Mentioned,CDER,partially approved,"[""21 U.S.C. § 355(b)(2)"", ""21 CFR 10.20"", ""21 CFR 314.93"", ""Section 505(b)(2) of the FD&C Act"", ""Section 505(j)(2)(C) of the FD&C Act""]","The petition is partially approved: FDA will require applicants to demonstrate that genotoxic or potentially genotoxic impurities associated with naloxone are appropriately limited, but it does not agree to refuse filing any 505(b)(2) application for a buprenorphine/naloxone drug product without citing NDA 22-410.",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0923-0009_Interim_Response_to_Public_Citizen_Health_Research.pdf,2012-05-18,Not Mentioned,CDRH,other: interim response,"[""21 U.S.C. § 360(e)"", ""21 U.S.C. § 360j(m)"", ""21 CFR 810"", ""21 CFR 814.118"", ""21 CFR 1O.30(e)(2)""]",FDA requires further review and analysis by agency officials before reaching a decision on the petition.,Mostly Complete,60.2%,Responding FDA Center; Response to Petition
FDA-2011-P-0923-0011_Public_Citizens_Health_Research_Group_Response_to_.pdf,2012-08-08,Not Mentioned,CDRH,partially approved,"[""21 U.S.C. § 520""]","The FDA has approved new, narrowed labeling proposed by Stryker without identifying any evidence that the device confers additional benefits to the intended patient population specified in the new labeling.",Complete,100.0%,None
FDA-2011-P-0926-0004_Interim_Response_to_United_States_Pharmacopeial_Co.pdf,2023-10-15,"January 3, 2012",CDER,other: interim response provided due to other priorities,"[""21 CFR 10.30(e)(2))"", ""21 CFR 212.5(b)""]",FDA has not yet resolved the issues raised in the petition due to the need to address other Agency priorities.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0929-0003_FDA_CFSAN_Response_to_Caravan_Ingredients_Inc_Kell.pdf,2013-07-05,Not Mentioned,CFSAN,denied,"[""21 CFR 10.30(e)(3)"", ""21 CFR 102.5"", ""21 CFR 184.1101""]",The petition did not provide sufficient grounds to authorize CSL and SSL as acceptable alternate common or usual names for the food additives calcium stearoyl-2-lactylate and sodium stearoyl lactylate due to lack of clarity and understanding by consumers.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0931-0005_Upsher_Smith_Laboratories_re_Approval_Requirements.pdf,Not Mentioned,2012-06-25,CDER,other: [brief description],"[""21 CFR 314.93"", ""Section 505 of the FD&C Act""]",The document does not provide a clear FDA response but discusses the requirement for clinical efficacy studies and policy considerations.,PDF Read Error,0.0%,PDF text extraction failed
